icd103,chapter,l1,l2
A72,I Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,TBC
A73,I Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,TBC
A74,I Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,Other diseases caused by chlamydiae
A75,I Certain infectious and parasitic diseases,Rickettsioses,Typhus fever
A76,I Certain infectious and parasitic diseases,Rickettsioses,TBC
A77,I Certain infectious and parasitic diseases,Rickettsioses,Spotted fever [tick-borne rickettsioses]
A78,I Certain infectious and parasitic diseases,Rickettsioses,Q fever
A79,I Certain infectious and parasitic diseases,Rickettsioses,Other rickettsioses
A80,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Acute poliomyelitis
A81,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Atypical virus infections of central nervous system
A82,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Rabies
A83,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Mosquito-borne viral encephalitis
A84,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Tick-borne viral encephalitis
A85,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Other viral encephalitis; not elsewhere classified
A86,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Unspecified viral encephalitis
A87,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Viral meningitis
A88,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Other viral infections of central nervous system; not elsewhere classified
A89,I Certain infectious and parasitic diseases,Viral infections of the central nervous system,Unspecified viral infection of central nervous system
A92,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Other mosquito-borne viral fevers
A93,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Other arthropod-borne viral fevers; not elsewhere classified
A94,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Unspecified arthropod-borne viral fever
A95,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Yellow fever
A96,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,TBC
A97,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Dengue
A98,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Other viral haemorrhagic fevers; not elsewhere classified
A99,I Certain infectious and parasitic diseases,Arthropod-borne viral fevers and viral haemorrhagic fevers,Unspecified viral haemorrhagic fever
B00,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Herpesviral [herpes simplex] infections
B01,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Varicella [chickenpox]
B02,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Zoster [herpes zoster]
B03,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,TBC
B04,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,TBC
B05,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Measles
B06,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Rubella [German measles]
B07,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Viral warts
B08,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Other viral infections characterized by skin and mucous membrane lesions; not elsewhere classified
B09,I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,I Certain infectious and parasitic diseases,Viral hepatitis,Acute hepatitis A
B16,I Certain infectious and parasitic diseases,Viral hepatitis,Acute hepatitis B
B17,I Certain infectious and parasitic diseases,Viral hepatitis,Other acute viral hepatitis
B18,I Certain infectious and parasitic diseases,Viral hepatitis,Chronic viral hepatitis
B19,I Certain infectious and parasitic diseases,Viral hepatitis,Unspecified viral hepatitis
B20,I Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21,I Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22,I Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23,I Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus [HIV] disease resulting in other conditions
B24,I Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease,Unspecified human immunodeficiency virus [HIV] disease
B25,I Certain infectious and parasitic diseases,Other viral diseases,Cytomegaloviral disease
B26,I Certain infectious and parasitic diseases,Other viral diseases,Mumps
B27,I Certain infectious and parasitic diseases,Other viral diseases,Infectious mononucleosis
B28,I Certain infectious and parasitic diseases,Other viral diseases,TBC
B29,I Certain infectious and parasitic diseases,Other viral diseases,TBC
B30,I Certain infectious and parasitic diseases,Other viral diseases,Viral conjunctivitis
B31,I Certain infectious and parasitic diseases,Other viral diseases,TBC
B32,I Certain infectious and parasitic diseases,Other viral diseases,TBC
B33,I Certain infectious and parasitic diseases,Other viral diseases,Other viral diseases; not elsewhere classified
B34,I Certain infectious and parasitic diseases,Other viral diseases,Viral infection of unspecified site
B35,I Certain infectious and parasitic diseases,Mycoses,Dermatophytosis
B36,I Certain infectious and parasitic diseases,Mycoses,Other superficial mycoses
B37,I Certain infectious and parasitic diseases,Mycoses,Candidiasis
B38,I Certain infectious and parasitic diseases,Mycoses,Coccidioidomycosis
B39,I Certain infectious and parasitic diseases,Mycoses,Histoplasmosis
B40,I Certain infectious and parasitic diseases,Mycoses,Blastomycosis
B41,I Certain infectious and parasitic diseases,Mycoses,Paracoccidioidomycosis
B42,I Certain infectious and parasitic diseases,Mycoses,Sporotrichosis
B43,I Certain infectious and parasitic diseases,Mycoses,Chromomycosis and phaeomycotic abscess
B44,I Certain infectious and parasitic diseases,Mycoses,Aspergillosis
B45,I Certain infectious and parasitic diseases,Mycoses,Cryptococcosis
B46,I Certain infectious and parasitic diseases,Mycoses,Zygomycosis
B47,I Certain infectious and parasitic diseases,Mycoses,Mycetoma
B48,I Certain infectious and parasitic diseases,Mycoses,Other mycoses; not elsewhere classified
B49,I Certain infectious and parasitic diseases,Mycoses,Unspecified mycosis
B50,I Certain infectious and parasitic diseases,Protozoal diseases,Plasmodium falciparum malaria
B51,I Certain infectious and parasitic diseases,Protozoal diseases,Plasmodium vivax malaria
B52,I Certain infectious and parasitic diseases,Protozoal diseases,Plasmodium malariae malaria
B53,I Certain infectious and parasitic diseases,Protozoal diseases,Other parasitologically confirmed malaria
B54,I Certain infectious and parasitic diseases,Protozoal diseases,Unspecified malaria
B55,I Certain infectious and parasitic diseases,Protozoal diseases,Leishmaniasis
B56,I Certain infectious and parasitic diseases,Protozoal diseases,African trypanosomiasis
B57,I Certain infectious and parasitic diseases,Protozoal diseases,Chagas' disease
B58,I Certain infectious and parasitic diseases,Protozoal diseases,Toxoplasmosis
B59,I Certain infectious and parasitic diseases,Protozoal diseases,Pneumocystosis
B60,I Certain infectious and parasitic diseases,Protozoal diseases,Other protozoal diseases; not elsewhere classified
B61,I Certain infectious and parasitic diseases,Protozoal diseases,TBC
B62,I Certain infectious and parasitic diseases,Protozoal diseases,TBC
B63,I Certain infectious and parasitic diseases,Protozoal diseases,TBC
B64,I Certain infectious and parasitic diseases,Protozoal diseases,TBC
B65,I Certain infectious and parasitic diseases,Helminthiases,Schistosomiasis [bilharziasis]
B66,I Certain infectious and parasitic diseases,Helminthiases,Other fluke infections
B67,I Certain infectious and parasitic diseases,Helminthiases,Echinococcosis
B68,I Certain infectious and parasitic diseases,Helminthiases,Taeniasis
B69,I Certain infectious and parasitic diseases,Helminthiases,Cysticercosis
B70,I Certain infectious and parasitic diseases,Helminthiases,TBC
B71,I Certain infectious and parasitic diseases,Helminthiases,Other cestode infections
B72,I Certain infectious and parasitic diseases,Helminthiases,Dracunculiasis
B73,I Certain infectious and parasitic diseases,Helminthiases,TBC
B74,I Certain infectious and parasitic diseases,Helminthiases,Filariasis
B75,I Certain infectious and parasitic diseases,Helminthiases,Trichinellosis
B76,I Certain infectious and parasitic diseases,Helminthiases,Hookworm diseases
B77,I Certain infectious and parasitic diseases,Helminthiases,Ascariasis
B78,I Certain infectious and parasitic diseases,Helminthiases,Strongyloidiasis
B79,I Certain infectious and parasitic diseases,Helminthiases,Trichuriasis
B80,I Certain infectious and parasitic diseases,Helminthiases,Enterobiasis
B81,I Certain infectious and parasitic diseases,Helminthiases,Other intestinal helminthiases; not elsewhere classified
B82,I Certain infectious and parasitic diseases,Helminthiases,Unspecified intestinal parasitism
B83,I Certain infectious and parasitic diseases,Helminthiases,Other helminthiases
B85,I Certain infectious and parasitic diseases,Pediculosis; acariasis and other infestations,Pediculosis and phthiriasis
B86,I Certain infectious and parasitic diseases,Pediculosis; acariasis and other infestations,Scabies
B87,I Certain infectious and parasitic diseases,Pediculosis; acariasis and other infestations,Myiasis
B88,I Certain infectious and parasitic diseases,Pediculosis; acariasis and other infestations,Other infestations
B89,I Certain infectious and parasitic diseases,Pediculosis; acariasis and other infestations,Unspecified parasitic disease
B90,I Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,TBC
B91,I Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,TBC
B92,I Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,TBC
B93,I Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,TBC
B94,I Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases,TBC
B95,I Certain infectious and parasitic diseases,Bacterial; viral and other infectious agents,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
B96,I Certain infectious and parasitic diseases,Bacterial; viral and other infectious agents,Other specified bacterial agents as the cause of diseases classified to other chapters
B97,I Certain infectious and parasitic diseases,Bacterial; viral and other infectious agents,TBC
B98,I Certain infectious and parasitic diseases,Bacterial; viral and other infectious agents,Other specified infectious agents as the cause of diseases classified to other chapters
B99,I Certain infectious and parasitic diseases,Other infectious diseases,Other and unspecified infectious diseases
C00,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of lip
C01,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of base of tongue
C02,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of other and unspecified parts of tongue
C03,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of gum
C04,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of floor of mouth
C05,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of palate
C06,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of other and unspecified parts of mouth
C07,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of parotid gland
C08,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of other and unspecified major salivary glands
C09,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of tonsil
C10,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of oropharynx
C11,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of nasopharynx
C12,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of piriform sinus
C13,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of hypopharynx
C14,II Neoplasms,Malignant neoplasms of lip; oral cavity and pharynx,Malignant neoplasm of other and ill-defined sites in the lip; oral cavity and pharynx
C15,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of oesophagus
C16,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of stomach
C17,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of small intestine
C18,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of colon
C19,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of rectosigmoid junction
C20,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of rectum
C21,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of anus and anal canal
C22,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of liver and intrahepatic bile ducts
C23,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of gallbladder
C24,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of other and unspecified parts of biliary tract
C25,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of pancreas
C26,II Neoplasms,Malignant neoplasms of digestive organs,Malignant neoplasm of other and ill-defined digestive organs
C30,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of nasal cavity and middle ear
C31,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of accessory sinuses
C32,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of larynx
C33,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of trachea
C34,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of bronchus and lung
C35,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,TBC
C36,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,TBC
C37,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of thymus
C38,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of heart; mediastinum and pleura
C39,II Neoplasms,Malignant neoplasms of respiratory and intrathoracic organs,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C40,II Neoplasms,Malignant neoplasms of bone and articular cartilage,Malignant neoplasm of bone and articular cartilage of limbs
C41,II Neoplasms,Malignant neoplasms of bone and articular cartilage,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43,II Neoplasms,Melanoma and other malignant neoplasms of skin,Malignant melanoma of skin
C44,II Neoplasms,Melanoma and other malignant neoplasms of skin,Other malignant neoplasms of skin
C45,II Neoplasms,Malignant neoplasms of mesothelial and soft tissue,Mesothelioma
C46,II Neoplasms,Malignant neoplasms of mesothelial and soft tissue,Kaposi sarcoma
C47,II Neoplasms,Malignant neoplasms of mesothelial and soft tissue,Malignant neoplasm of peripheral nerves and autonomic nervous system
C48,II Neoplasms,Malignant neoplasms of mesothelial and soft tissue,Malignant neoplasm of retroperitoneum and peritoneum
C49,II Neoplasms,Malignant neoplasms of mesothelial and soft tissue,Malignant neoplasm of other connective and soft tissue
C50,II Neoplasms,Malignant neoplasm of breast,Malignant neoplasm of breast
C51,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of vulva
C52,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of vagina
C53,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of cervix uteri
C54,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of corpus uteri
C55,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of uterus; part unspecified
C56,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of ovary
C57,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of other and unspecified female genital organs
C58,II Neoplasms,Malignant neoplasms of female genital organs,Malignant neoplasm of placenta
C60,II Neoplasms,Malignant neoplasms of male genital organs,Malignant neoplasm of penis
C61,II Neoplasms,Malignant neoplasms of male genital organs,Malignant neoplasm of prostate
C62,II Neoplasms,Malignant neoplasms of male genital organs,Malignant neoplasm of testis
C63,II Neoplasms,Malignant neoplasms of male genital organs,Malignant neoplasm of other and unspecified male genital organs
C64,II Neoplasms,Malignant neoplasms of urinary tract,Malignant neoplasm of kidney; except renal pelvis
C65,II Neoplasms,Malignant neoplasms of urinary tract,Malignant neoplasm of renal pelvis
C66,II Neoplasms,Malignant neoplasms of urinary tract,Malignant neoplasm of ureter
C67,II Neoplasms,Malignant neoplasms of urinary tract,Malignant neoplasm of bladder
C68,II Neoplasms,Malignant neoplasms of urinary tract,Malignant neoplasm of other and unspecified urinary organs
C69,II Neoplasms,Malignant neoplasms of eye; brain and other parts of central nervous system,Malignant neoplasm of eye and adnexa
C70,II Neoplasms,Malignant neoplasms of eye; brain and other parts of central nervous system,Malignant neoplasm of meninges
C71,II Neoplasms,Malignant neoplasms of eye; brain and other parts of central nervous system,Malignant neoplasm of brain
C72,II Neoplasms,Malignant neoplasms of eye; brain and other parts of central nervous system,Malignant neoplasm of spinal cord; cranial nerves and other parts of central nervous system
C73,II Neoplasms,Malignant neoplasms of thyroid and other endocrine glands,Malignant neoplasm of thyroid gland
C74,II Neoplasms,Malignant neoplasms of thyroid and other endocrine glands,Malignant neoplasm of adrenal gland
C75,II Neoplasms,Malignant neoplasms of thyroid and other endocrine glands,Malignant neoplasm of other endocrine glands and related structures
C76,II Neoplasms,Malignant neoplasms of ill-defined; secondary and unspecified sites,Malignant neoplasm of other and ill-defined sites
C77,II Neoplasms,Malignant neoplasms of ill-defined; secondary and unspecified sites,Secondary and unspecified malignant neoplasm of lymph nodes
C78,II Neoplasms,Malignant neoplasms of ill-defined; secondary and unspecified sites,Secondary malignant neoplasm of respiratory and digestive organs
C79,II Neoplasms,Malignant neoplasms of ill-defined; secondary and unspecified sites,Secondary malignant neoplasm of other and unspecified sites
C80,II Neoplasms,Malignant neoplasms of ill-defined; secondary and unspecified sites,Malignant neoplasm without specification of site
C81,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Hodgkin lymphoma
C82,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Follicular lymphoma
C83,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Non-follicular lymphoma
C84,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Mature T/NK-cell lymphomas
C85,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Other and unspecified types of non-Hodgkin lymphoma
C86,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Other specified types of T/NK-cell lymphoma
C87,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,TBC
C88,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Malignant immunoproliferative diseases
C89,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,TBC
C90,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Multiple myeloma and malignant plasma cell neoplasms
C91,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Lymphoid leukaemia
C92,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Myeloid leukaemia
C93,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Monocytic leukaemia
C94,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Other leukaemias of specified cell type
C95,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Leukaemia of unspecified cell type
C96,II Neoplasms,Malignant neoplasms; stated or presumed to be primary; of lymphoid; haematopoietic and related tissue,Other and unspecified malignant neoplasms of lymphoid; haematopoietic and related tissue
C97,II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,Malignant neoplasms of independent (primary) multiple sites
D00,II Neoplasms,In situ neoplasms,Carcinoma in situ of oral cavity; oesophagus and stomach
D01,II Neoplasms,In situ neoplasms,Carcinoma in situ of other and unspecified digestive organs
D02,II Neoplasms,In situ neoplasms,Carcinoma in situ of middle ear and respiratory system
D03,II Neoplasms,In situ neoplasms,Melanoma in situ
D04,II Neoplasms,In situ neoplasms,Carcinoma in situ of skin
D05,II Neoplasms,In situ neoplasms,Carcinoma in situ of breast
D06,II Neoplasms,In situ neoplasms,Carcinoma in situ of cervix uteri
D07,II Neoplasms,In situ neoplasms,Carcinoma in situ of other and unspecified genital organs
D08,II Neoplasms,In situ neoplasms,TBC
D09,II Neoplasms,In situ neoplasms,Carcinoma in situ of other and unspecified sites
D10,II Neoplasms,Benign neoplasms,Benign neoplasm of mouth and pharynx
D11,II Neoplasms,Benign neoplasms,Benign neoplasm of major salivary glands
D12,II Neoplasms,Benign neoplasms,Benign neoplasm of colon; rectum; anus and anal canal
D13,II Neoplasms,Benign neoplasms,Benign neoplasm of other and ill-defined parts of digestive system
D14,II Neoplasms,Benign neoplasms,Benign neoplasm of middle ear and respiratory system
D15,II Neoplasms,Benign neoplasms,Benign neoplasm of other and unspecified intrathoracic organs
D16,II Neoplasms,Benign neoplasms,Benign neoplasm of bone and articular cartilage
D17,II Neoplasms,Benign neoplasms,Benign lipomatous neoplasm
D18,II Neoplasms,Benign neoplasms,Haemangioma and lymphangioma; any site
D19,II Neoplasms,Benign neoplasms,Benign neoplasm of mesothelial tissue
D20,II Neoplasms,Benign neoplasms,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D21,II Neoplasms,Benign neoplasms,Other benign neoplasms of connective and other soft tissue
D22,II Neoplasms,Benign neoplasms,Melanocytic naevi
D23,II Neoplasms,Benign neoplasms,Other benign neoplasms of skin
D24,II Neoplasms,Benign neoplasms,Benign neoplasm of breast
D25,II Neoplasms,Benign neoplasms,Leiomyoma of uterus
D26,II Neoplasms,Benign neoplasms,Other benign neoplasms of uterus
D27,II Neoplasms,Benign neoplasms,Benign neoplasm of ovary
D28,II Neoplasms,Benign neoplasms,Benign neoplasm of other and unspecified female genital organs
D29,II Neoplasms,Benign neoplasms,Benign neoplasm of male genital organs
D30,II Neoplasms,Benign neoplasms,Benign neoplasm of urinary organs
