study_id,extracted_data,checked_data,first_author,title,duplicate_intervention,study_year,doi,source,include,exclusion _reason,mmat_s1_clear_research_questions,mmat_s2_appropriate_methods,mmat_pass_screening,mmat_study_type,mmat_q1,mmat_q2,mmat_q3,mmat_q4,mmat_q5,mmat_all_yes,mmat_comments,country,region,region2,setting,ost_medication_type,years_implemented,first_year,first_year_group,elements,type,intervention_description,population / participants,subgroup,sample,age,comparison_group,outcome_measures,study_design,Brief description of study findings,conclude_effective
29,MW,NT ,Kaucher,Evaluation of an emergency department buprenorphine induction and medication-assisted treatment referral program,,2020,10.1016/j.ajem.2019.158373,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MW,NT ,Kalmin,Voting with their feet: Social factors linked with treatment for opioid use disorder using same-day buprenorphine delivered in California hospitals.,,2021,10.1016/j.drugalcdep.2021.108673,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MW,NT ,Johns,Utilizing Buprenorphine in the Emergency Department after Overdose.,,2018,10.1016/j.tips.2018.10.002,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MW,NT ,Jennings,Identification and Treatment of Opioid Withdrawal and Opioid Use Disorder in the Emergency Department.,,2020,10.15766/mep_2374-8265.10899,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,The same questions were used for both the pre- and post-test. The analysis is a paired t-test. There could be time-varying confounding and an effect of the 'before' questions on the 'after' questions.,United States,Other,Other or nationwide,hospital-wide,Buprenorphine,Not listed; presumably 2018,2018,2015-2019,Training and education in relation to OAT,ed_ost,Training session entailing 1-hour workshop: 30-minute didactic session plus 20-minute case study,,,48,unknown,None,post-test scores,before vs. after,Training increases knowledge. The study is not designed to conclude whether increased knowledge translates to improved access to OST in acute hospital settings.,yes
33,DL,NT ,Wakeman,"Institutional Substance Use Disorder Intervention Improves General Internist Preparedness, Attitudes, and Clinical Practice",yes - study 8,2017,10.1097/ADM.0000000000000314,database 1,yes,include,yes,yes,yes,quantitative non-randomised,cannot tell,yes,yes,no,yes,no,"The study compares results from a survey of healthcare professionals 1 month before the intervention (September 2014) with a survey one year later (September 2015). The survey is anonymous so individuals who did both surveys cannot be linked. There were no significant differences comparing 2014 and 2015, but the results also show that ""66% of physicians who interacted with the clinical components of the initiative demonstrated significant attitude changes"". It is unclear how this change is measured - is it from the follow-up survey only, comparing participants who did vs. did not interact with the programme?",United States,Massachusetts,Northeast states,hospital-wide,Methadone and buprenorphine,2014-2015,2014,2010-2014,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Peer support for patients who need OAT;Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,(1) Multidisciplinary addictions consult team for inpatients with drug or alcohol problems (63% alcohol; 22% opioids; 11% both; 4% another drug problem); (2) post-discharge bridge clinic for patients leaving inpatient wards or ED but do not yet have community treatment; (3) Recovery coaches - peer-led support for patients; (4) integrated SUD treatment within primary care [not relevant for this review]; (5) education to increase knowledge and reduce stigma about SUD.,,,243,unknown,None,"The survey consisted of 3 domains: (1) physician attitudes regarding SUD; (2) preparedness to deliver SUD care including providing SBIRT, and discussing treatment options for SUD, overdose prevention, and harm reduction; and (3) current clinical practice delivering SBIRT, prescribing addiction pharmacotherapy, and prescribing naloxone to individuals at risk for overdose.",before vs. after,"There was no evidence that participants in 2015 and different attitudes or knowledge than those in 2014. Among participants in 2015, those who had interacted with the programme had different attitudes and knowledge. Key results highlighted include 44% of those interacting with the programme feel that caring for patients with SUD is as satisfying as other clinical activities; compared to 9% among participants who had not interacted with the programme. However, the key results (comparing results from 2014 with 2015) do not seem to support the conclusion that the programme ""significantly improved general internists’ attitudes, preparedness, and clinical practice"".",yes
18,VH,NT ,Melnick,Progress Report on EMBED: A Pragmatic Trial of User-Centered Clinical Decision Support to Implement EMergency Department-Initiated BuprenorphinE for Opioid Use Disorder.,,2020,10.20900/jpbs.20200003,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DL,NT ,Snyder,Rapid Adoption of Low-Threshold Buprenorphine Treatment at California Emergency Departments Participating in the CA Bridge Program,,2021,10.1016/j.annemergmed.2021.05.024,database 1,yes,include,yes,yes,yes,mixed methods,yes,yes,yes,yes,yes,yes,,United States,California,Western states,ED,Buprenorphine,2019-2020,2019,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Peer support for patients who need OAT",ed_ost,"Low-threshold ED buprenorphine treatment at 52 hospitals participating in the CA Bridge Program. Low threshold initiation did not require drug testing, specialist consultation, abstinence, or opioid treatment contracts. The bridge programme included active patient navigation to outpatient addiction treatment; and harm reduction (overdose education and naloxone). Active patient navigation was done by ""substance use navigators"", an ED-based specialist, who sometimes had lived experience. A clinician champion was appointed, who trained other clinical staff using CA Bridge materials.",,,"12,009 patients across 52 hospitals",unknown,None,"RE-AIM framework: Reach (characteristics of participating hospitals); Effectiveness (number of patients identified, number administered buprenorphine, number attending follow-up), Adoption (impact of hospital characteristics on patients treated); Implementation (various process level outcomes, including providers completing X-waiver training, proportion offering buprenorphine); Maintenance (hospital plans to continue providing buprenorphine)",other,"7000/12,000 patients with OUD received buprenorphine, which was interpreted as an increase. Hospitals continued providing buprenorphine after support via the VA Bridge programme ended. Authors also concluded that ""the multicomponent CA Bridge model, including low threshold ED buprenorphine, connection to outpatient addiction treatment, and promotion of a harm reduction approach, resulted in sustainable institutional change"". Substance use navigators were considered key to the success of the model, particularly due to their training in motivational interviewing and expert knowledge.",yes
40,DL,NT ,Walter,Design and Implementation of a Curriculum for Emergency Medicine Residents to Address Medications and Treatment Referral for Opioid Use Disorder.,,2021,10.1080/10826084.2021.1879144,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Confounders may include secular time trends in the outcome, such as increasing medical knowledge and experience (as there is no control group).",United States,Alabama,Southern states,ED,Buprenorphine,2019,2019,2015-2019,Training and education in relation to OAT,ed_ost,"A pilot ""OUD curriculum"" for Emergency Medicine residents at the University of Alabama at Birmingham Emergency Medicine Residency Program. The curriculum was delivered over 4.5 hours, and included a podcast, a lecture, a small group case-based discussion, a tabletop simulation, and a presentation from a patient with lived experience. The aim was to increase OUD treatment (including initiation of buprenorphine) in ED. There were 32 participants.",,,29,"""The respondents were predominantly male and white between the ages of 25-34""",None,"Likert-scale items about OUD knowledge, eg. ""I feel very comfortable identifying and diagnosing OUD in the ED"". Also the Medical Condition Regard Scale, a 9-item scale about stigma.",before vs. after,Some statistically significant improvements in knowledge and confidence were identified. Other items were not significantly different. There were no significant reductions in knowledge and confidence.,yes
41,DL,NT ,Salter,Review article: Rapid review of the emergency department-initiated buprenorphine for opioid use disorder,,2020,10.1111/1742-6723.13654,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,DL,NT ,Reuter,Successful Medication for Opioid Use Disorder (MOUD) Program at a Community Hospital Emergency Department,,2020,10.1111/acem.13921,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Case series research letter,United States,Ohio,Midwest states,ED,Buprenorphine,2018,2018,2015-2019,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Peer support for patients who need OAT",ed_ost,"Eligible patients were those with a previous diagnosis of OUD, had attended due to opioid overdose or intoxication, or with in opioid withdrawal. Patients were screened and interviewed by an addiction care co-ordinator, who initiated treatment if appropriate and referred to community outpatient services, including drug treatment, primary care, and mental health services. A peer recovery worker also provided support. ",,,267 (approx) were screened,Range 18-67,None,"Initiation on buprenorphine, attending first appointment, treatment engagement at 30 & 60 days",case series,"267 patients were screened. 97 enrolled in buprenorphine treatment. 83 attended their first follow-up. 173 Initiation on buprenorphine: 97, attending first appointment. 80 were referred ""internally"", and 43/80 attended the 30-day appointment; 32/80 attended the 60 day appointment. Authors conclude that the intervention was successful due to synergies between each element of the intervention (ie. the addiction care coordinator, peer recovery coaches, and ED initiation of buprenorphine).",yes
20,DL,NT ,Martin,Get waivered: A campaign to get emergency physicians waivered to prescribe buprenorphine,,2019,10.1016/j.annemergmed.2019.04.035,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,DL,NT ,Wakeman,A hospital-wide initiative to redesign substance use disorder care: Impact on pharmacotherapy initiation,,2021,10.1080/08897077.2020.1846664,database 1,no,duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,TDB,NT,Sholl,Emergency department initiation of buprenorphine/naloxone with warm handoff to community care,,2019,10.1111/acem.13756,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,TDB,NT,Quaye,Perioperative Continuation of Buprenorphine at Low-Moderate Doses Was Associated with Lower Postoperative Pain Scores and Decreased Outpatient Opioid Dispensing Compared with Buprenorphine Discontinuation.,,2020,10.1093/pm/pnaa020,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NT,VH,Perez-Rivera,E-consultation for medications to treat opioid use disorders: a pilot study.,,2022,10.1080/10550887.2021.2020044,database 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,NT,VH,Mospan,"Initiation of buprenorphine for opioid use disorder in the hospital setting: Practice models, challenges, and legal considerations",,2021,10.1093/ajhp/zxab373,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,NT,VH,Myles,"Changes in physician knowledge, confidence, and self-efficacy toward buprenorphine prescribing",,2021,10.1111/acem.14249,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,DL,NT ,Mitchell,Patients with substance use disorders receiving continued care in skilled nursing facilities following hospitalization,,2022,10.1080/08897077.2021.2007512,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,DL,NT ,Lowenstein,Sustained Implementation of a Multicomponent Strategy to Increase Emergency Department-Initiated Interventions for Opioid Use Disorder.,,2022,10.1016/j.annemergmed.2021.10.012,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"The study design does not include controls, which would be hospital sites where the intervention is not implemented. Therefore it may be susceptible to confounding by secular trends in the outcomes.",United States,Pennsylvania,Northeast states,ED,Buprenorphine,2018-2020,2018,2015-2019,"Training and education in relation to OAT;Peer support for patients who need OAT;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",ed_ost,"Multicomponent intervention to improve ED-initiated buprenorphine: (1) X-waiver training for ED clinicians; (2) peer recovery specialists working with patients in ED; (3) real-time alerts sent to peer recovery specialist that an eligible patient is in ED; (4) culture change, including public acknowledgement of MOUD initiation and badges.",Patients in ED with visits related to opioid use disorder,,2665,Mean 41.2 (sd 14.3),None,Medication for opioid use disorder (focusing on buprenorphine),before vs. after,The proportion of patients receiving medication for opioid use disorder increased from 35/1326 (2.6%) to 302/1339 (22.6%). Measurement of withdrawal increased from 19/1326 (1.4%) to 234/1339 (17.5%). The use of urine drug screens did not change.,yes
57,DL,NT ,Le,Healthcare Use After Buprenorphine Prescription in a Community Emergency Department: A Cohort Study,,2021,10.5811/westjem.2021.6.51306,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NT,GW,Moe,Microdosing and standard-dosing take-home buprenorphine from the emergency department: A feasibility study,,2020,10.1002/emp2.12289,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NT,GW,Marshall,Medications for addiction treatment initiated from the emergency department: Ethical considerations,,2020,10.1016/j.ajem.2019.09.022,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,NT,GW,Liebschutz,"Buprenorphine treatment for hospitalized, opioid-dependent patients: a randomized clinical trial",,2014,10.1001/jamainternmed.2014.2556,database 1,yes,include,yes,yes,yes,rct,yes,yes,no,no,cannot tell,no,"Follow-up rates were 66.2%, 63.3%, and 59.0% at 1, 3, and 6 months, respectively. The rates of follow-up assessment were low with differential study retention by treatment group. Participants in the linkage group had higher observed follow up rates at all periods. Multiple sensitivity analyses were conducted which the authors explain confirmed the unadjusted findings which provides greater confidence in the findings. (Added: low follow up rates, significantly higher follow up rate for linkage group at 6 months. The follow up interviews were conduced by research interviewers and they were aware of treatment group assignment at the follow-up assessments.",United States,Massachusetts,Northeast states,hospital-wide,Buprenorphine,2009-2013,2009,2005-2009,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers)",building_capacity,Offering hospitalised opioid dependent patients initiation and linkage to office-based opioid addiction treatment with buprenorphine. Does this facilitate entry into and persistence with buprenorphine treatment? (Also see whether this linkage would decrease illicit opioid use at 6 months).,Opiod-dependent patients in a general hospital ,,139 randomised; 72 allocated to linkage group and 72 recieved allocated intervention. 67 allocated to detoxification group and 67 analysed,"Total cohort - Mean = 40.5 (SD: 11.8), Detoxification mean = 39.6 (SD:11.5), Linkage mean 41.4 (SD: 12.0)","Buprenorphine protocol was identical for both study groups: 2 mg of sublingual buprenorphine and 0.5 mg of naloxone up to 4 times for a maximum of 8 mg of buprenorphine. Detoxification group - received 4 additional days of tapering buprenorphine and naloxone.  This taper plan was administered by hospital nursing staff during hospitalization and self-administered by the participant if discharge occurred before study day 5, in which case participants received a blister pack of the remaining medication and pharmacy instructions. Linkage group - Before discharge, research staff facilitated linkage to the hospital-associated primary care buprenorphine OAT. The OAT staff contacted the participant, conducted its own admission process, and scheduled the initial nurse intake visit within 7 days of discharge.","PRIMARY: (1) Entry into buprenorphine treatment at hospital associated OAT programme, (2) Length of illicit opioid use (number of days reported opioid use in the 30 days before the 1, 3 and 6 month interviews. SECONDARY: (1) Time to entry into the buprenorphine programme, (2) OAT days: number of days of self-reported prescribed OAT in the 30 days before the 1-, 3-, and 6-month interviews. (3) Entry into any substance abuse treatment programme (defined as self-reported receipt of any substance abuse treatment, (4) mortality, assessed through medical record review or report by family member.",rct,"Compared with an inpatient detoxification protocol, initiation of and linkage to buprenorphine treatment is an effective means for engaging medically hospitalized patients who are not seeking addiction treatment and reduces illicit opioid use 6 months after hospitalization. However, maintaining engagement in treatment remains a challenge. Brief description of study outcomes-  quantifying outcomes:
1. Follow up:  Participants randomized to the linkage group had higher observed follow-up rates at all periods. Betweengroup differences in follow-up rates were not statistically significant at 1 or 3 months. The linkage group had a significantly higher rate of follow-up at 6 months (?2 = 6.75, P = .009).
2. Opiate use during follow up period - Relative to those randomized to the detoxification group, the estimated odds of reporting any illicit opioid use were significantly lower among those randomized to the linkage group (OR, 0.13; 95% CI, 0.04-0.77; P = .003). On the basis of complete case analysis, the estimated rate of illicit opioid use in those in the linkage group was approximately 40% lower
(IRR, 0.60; 95% CI, 0.46-0.73;P < .01) than for participants randomized to the detoxification group. The predicted rates of use were 8.6 (linkage group) vs 13.7 (detoxification group) days of illicit opioid use per 30 follow-up days.",yes
60,NT,GW,Kaczorowski,Emergency Department-initiated Interventions for Patients With Opioid Use Disorder: A Systematic Review,,2020,10.1111/acem.14054,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,systematic review,"Emergency departments can be an appropriate setting for initiating opioid agonist treatment, but to be sustained, it likely needs to be coupled with community-based follow-up and support to ensure longer-term retention. The scarcity of high-quality evidence on OUD interventions initiated in emergency settings highlights the need for future research.

12 studies met the inclusion criteria and two of those 12 studies were of high quality. All based in USA or Canada.
",unclear
62,NT,GW,Harris,Adapting inpatient addiction medicine consult services during the COVID-19 pandemic,,2021,10.1186/s13722-021-00221-1,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DL,NT,Thakrar,A Resident-Led Intervention to Increase Initiation of Buprenorphine Maintenance for Hospitalized Patients With Opioid Use Disorder.,,2021,10.12788/jhm.3544,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,Change in proportion of patients with OUD initiated on buperenorphine,United States,Maryland,Southern states,hospital-wide,Buprenorphine,2018-2019,2018,2015-2019,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Peer support for patients who need OAT",building_capacity,A quality improvement initiative including (1) A conference for residents with patient testimonial and summary of evidence; (2) a one-page buprenorphine protocol; (3) mandating X-waivers for residents; (4) a Bridge clinic that provides prescriptions for patients who have a follow-up appointment in the community.,Inpatients with opioid use disorder not on buprenorphine or methadone maintenance on admission,,575 patients (305 before; 270 after). 155 clinicians (89 before; 66 after) ,unknown,None,"PRIMARY: initiation of buprenorphine in hospital. SECONARY: (1) post-discharge engagement with treatment (proportion that filled a buprenorphine prescription with 30 days after discharge), (2) clinician-level 'knowledge and comfort' outcomes from surveys, eg. ""I know when and how to start buprenorphine to prevent precipitated withdrawal"".",before vs. after,The proportion of patients prescribed buprenorphine increased from 30/305 (10%) to 64/270 (24%); with an interrupted time series analysis estimating an increase of 14.4% (95% CI 3.5% - 25.3%). There was no evidence of a difference follow-up prescriptions (as a proportion of those initiated in hospital). Clinicians completing the survey after the intervention were significant more comfortable and knowledgeable about buprenorphine prescribing.,yes
63,DL,NT ,Wiercigroch,A qualitative examination of the current management of opioid use disorder and barriers to prescribing buprenorphine in a Canadian emergency department,,2021,10.1186/s12873-021-00443-1,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,DL,NT ,Hawk,Consensus Recommendations on the Treatment of Opioid Use Disorder in the Emergency Department,,2021,10.1016/j.annemergmed.2021.04.023,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,NT,GW,Smith,Impact of a pharmacist-led substance use disorder transitions of care clinic on postdischarge medication treatment retention.,,2021,10.1016/j.jsat.2021.108440,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
