study_id,country,ost_medication_type,elements,type
108,United States,Methadone and buprenorphine,"Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Training and education in relation to OAT, including x-waiver training in the United States;Providing advice about OAT to primary medical teams",addiction_consult
158,United States,Buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT",ed_ost
159,United States,Methadone,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Providing advice about OAT to primary medical teams",addiction_consult
164,United States,Buprenorphine,"OAT guidance or protocol;Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT",ed_ost
167,United States,Buprenorphine,"OAT guidance or protocol;Training and education in relation to OAT, including x-waiver training in the United States",ed_ost
169,United States,Buprenorphine,"Training and education in relation to OAT, including x-waiver training in the United States",ed_ost
170,United States,Buprenorphine,OAT guidance or protocol;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT,ed_ost
171,United States,Buprenorphine,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States;Peer support for patients who need OAT;Providing advice about OAT to primary medical teams",addiction_consult
172,Canada,Buprenorphine,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States",ed_ost
173,United States,Methadone and buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Improving specialty-specific care for patients who are dependent on opioids",building_capacity
175,United States,Buprenorphine,"Training and education in relation to OAT, including x-waiver training in the United States",ed_ost
179,United States,Buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Providing advice about OAT to primary medical teams",addiction_consult
184,United States,Buprenorphine,OAT guidance or protocol,ed_ost
203,United States,Buprenorphine,"OAT guidance or protocol;Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Peer support for patients who need OAT",ed_ost
209,United States,Buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT, including x-waiver training in the United States;Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Electronic workflow that prompts staff to screen patients or supports other aspects of OAT;Providing advice about OAT to primary medical teams",addiction_consult
213,United States,Methadone and buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Providing advice about OAT to primary medical teams;Improving specialty-specific care for patients who are dependent on opioids",addiction_consult
216,United States,Methadone and buprenorphine,"Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Peer support for patients who need OAT;Multidisciplinary patient review, in which professionals from different backgrounds make decisions or provide recommendations in relation to OAT;Providing advice about OAT to primary medical teams",addiction_consult
